release;devId;files;fileRatio;spread
v2.6.12;dev-1;7141;0.4493173;6
v2.6.12;dev-2;1319;0.08299251;6
v2.6.12;dev-3; 624;0.03926257;5
v2.6.12;dev-4; 577;0.03630529;4
v2.6.12;dev-5; 530;0.03334801;1
v2.6.12;dev-6; 417;0.02623797;3
v2.6.12;dev-7; 401;0.02523123;3
v2.6.12;dev-8; 392;0.02466495;3
v2.6.12;dev-9; 272;0.01711445;5
v2.6.12;dev-10; 260;0.0163594;3
v2.6.12;dev-11; 246;0.01547851;3
v2.6.12;dev-12; 223;0.01403133;5
v2.6.12;dev-13; 215;0.01352797;1
v2.6.12;dev-14; 213;0.01340213;5
v2.6.12;dev-15; 209;0.01315044;3
v2.6.12;dev-16; 205;0.01289876;2
v2.6.12;dev-17; 185;0.01164034;6
v2.6.12;dev-18; 177;0.01113698;2
v2.6.12;dev-19; 176;0.01107406;4
v2.6.12;dev-20; 175;0.01101114;4
v2.6.12;dev-21; 162;0.01019317;4
v2.6.12;dev-22; 159;0.0100044;2
v2.6.12;dev-23; 156;0.009815642;2
v2.6.12;dev-24; 144;0.009060593;3
v2.6.12;dev-25; 137;0.008620147;5
v2.6.12;dev-26; 127;0.007990939;3
v2.6.12;dev-27; 120;0.007550494;4
v2.6.12;dev-28; 117;0.007361732;3
v2.6.12;dev-29; 112;0.007047128;4
v2.6.12;dev-30; 109;0.006858365;2
v2.6.12;dev-31; 103;0.006480841;3
v2.6.12;dev-32; 100;0.006292078;2
v2.6.12;dev-33;  97;0.006103316;2
v2.6.12;dev-34;  96;0.006040395;3
v2.6.12;dev-35;  83;0.005222425;1
v2.6.12;dev-36;  77;0.0048449;1
v2.6.12;dev-37;  77;0.0048449;3
v2.6.12;dev-38;  74;0.004656138;5
v2.6.12;dev-39;  73;0.004593217;3
v2.6.12;dev-40;  70;0.004404455;3
v2.6.12;dev-41;  70;0.004404455;4
v2.6.12;dev-42;  69;0.004341534;2
v2.6.12;dev-43;  68;0.004278613;2
v2.6.12;dev-44;  67;0.004215692;2
v2.6.12;dev-45;  62;0.003901089;3
v2.6.12;dev-46;  62;0.003901089;1
v2.6.12;dev-47;  61;0.003838168;2
v2.6.12;dev-48;  59;0.003712326;1
v2.6.12;dev-49;  59;0.003712326;2
v2.6.12;dev-50;  58;0.003649405;3
v2.6.12;dev-51;  58;0.003649405;2
v2.6.12;dev-52;  57;0.003586485;2
v2.6.12;dev-53;  55;0.003460643;3
v2.6.12;dev-54;  53;0.003334801;2
v2.6.12;dev-55;  52;0.003271881;4
v2.6.12;dev-56;  50;0.003146039;3
v2.6.12;dev-57;  49;0.003083118;4
v2.6.12;dev-58;  48;0.003020198;2
v2.6.12;dev-59;  47;0.002957277;2
v2.6.12;dev-60;  47;0.002957277;4
v2.6.12;dev-61;  44;0.002768514;2
v2.6.12;dev-62;  44;0.002768514;4
v2.6.12;dev-63;  43;0.002705594;1
v2.6.12;dev-64;  43;0.002705594;1
v2.6.12;dev-65;  43;0.002705594;1
v2.6.12;dev-66;  42;0.002642673;2
v2.6.12;dev-67;  41;0.002579752;2
v2.6.12;dev-68;  40;0.002516831;2
v2.6.12;dev-69;  39;0.002453911;1
v2.6.12;dev-70;  38;0.00239099;1
v2.6.12;dev-71;  37;0.002328069;2
v2.6.12;dev-72;  37;0.002328069;1
v2.6.12;dev-73;  37;0.002328069;3
v2.6.12;dev-74;  35;0.002202227;5
v2.6.12;dev-75;  33;0.002076386;3
v2.6.12;dev-76;  33;0.002076386;4
v2.6.12;dev-77;  33;0.002076386;3
v2.6.12;dev-78;  32;0.002013465;3
v2.6.12;dev-79;  30;0.001887623;3
v2.6.12;dev-80;  29;0.001824703;3
v2.6.12;dev-81;  29;0.001824703;2
v2.6.12;dev-82;  27;0.001698861;3
v2.6.12;dev-83;  27;0.001698861;1
v2.6.12;dev-84;  27;0.001698861;5
v2.6.12;dev-85;  26;0.00163594;1
v2.6.12;dev-86;  26;0.00163594;2
v2.6.12;dev-87;  25;0.00157302;3
v2.6.12;dev-88;  24;0.001510099;2
v2.6.12;dev-89;  24;0.001510099;3
v2.6.12;dev-90;  23;0.001447178;1
v2.6.12;dev-91;  23;0.001447178;2
v2.6.12;dev-92;  23;0.001447178;2
v2.6.12;dev-93;  22;0.001384257;1
v2.6.12;dev-94;  22;0.001384257;3
v2.6.12;dev-95;  22;0.001384257;2
v2.6.12;dev-96;  21;0.001321336;1
v2.6.12;dev-97;  20;0.001258416;2
v2.6.12;dev-98;  20;0.001258416;3
v2.6.12;dev-99;  19;0.001195495;2
v2.6.12;dev-100;  19;0.001195495;2
v2.6.12;dev-101;  19;0.001195495;1
v2.6.12;dev-102;  18;0.001132574;1
v2.6.12;dev-103;  18;0.001132574;2
v2.6.12;dev-104;  18;0.001132574;2
v2.6.12;dev-105;  18;0.001132574;4
v2.6.12;dev-106;  17;0.001069653;2
